Gene stable ID	Gene stable ID version	Gene name	Gene start (bp)	Chromosome/scaffold name
ENSG00000222102	ENSG00000222102.1	RN7SKP232	151704289	5
ENSG00000281499	ENSG00000281499.1	RNU5A-8P	210374154	CHR_HG1832_PATCH
ENSG00000201900	ENSG00000201900.1	RNY1P13	114727720	1
ENSG00000206865	ENSG00000206865.1	RF00019	56753226	18
ENSG00000238730	ENSG00000238730.1	RNU7-164P	40535502	X
ENSG00000206924	ENSG00000206924.1	RNU6-689P	75020761	14
ENSG00000202239	ENSG00000202239.1	RNU6-396P	46525618	21
ENSG00000278752	ENSG00000278752.1	AL355301.1	98076361	10
ENSG00000265745	ENSG00000265745.2	RN7SL375P	60034465	13
ENSG00000238529	ENSG00000238529.1	RNU6-599P	42863200	9
ENSG00000207448	ENSG00000207448.1	RNU6-520P	70701755	4
ENSG00000200718	ENSG00000200718.1	RN7SKP103	132523617	2
ENSG00000274581	ENSG00000274581.1	RF00012	91718574	CHR_HSCHR14_1_CTG1
ENSG00000207037	ENSG00000207037.1	RNU6-339P	84938416	15
ENSG00000275472	ENSG00000275472.1	RF02218	30026277	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000243173	ENSG00000243173.3	RN7SL861P	162777730	1
ENSG00000277418	ENSG00000277418.1	RNA5SP531	48316669	8
ENSG00000265838	ENSG00000265838.1	RF00003	32539820	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000222427	ENSG00000222427.1	RNA5SP338	22688351	11
ENSG00000251898	ENSG00000251898.1	SCARNA11	6581474	12
ENSG00000199711	ENSG00000199711.1	RF00019	99936610	7
ENSG00000276103	ENSG00000276103.1	RF00015	150608507	1
ENSG00000276470	ENSG00000276470.1	RF02156	11843812	1
ENSG00000238423	ENSG00000238423.1	SNORD42B	28720550	17
ENSG00000207258	ENSG00000207258.1	RF00019	38744020	8
ENSG00000252680	ENSG00000252680.1	RNA5SP449	9844717	18
ENSG00000252042	ENSG00000252042.1	RF00019	75145670	17
ENSG00000252346	ENSG00000252346.1	RNA5SP121	227763052	2
ENSG00000252655	ENSG00000252655.1	RF00019	89650793	14
ENSG00000200783	ENSG00000200783.1	RN7SKP180	72663823	17
ENSG00000212257	ENSG00000212257.1	RNU6-1176P	65022968	1
ENSG00000252321	ENSG00000252321.1	RN7SKP83	85820435	2
ENSG00000202406	ENSG00000202406.1	RN7SKP187	112288623	7
ENSG00000199515	ENSG00000199515.1	RF00019	41065554	22
ENSG00000207100	ENSG00000207100.1	RF00393	133152754	X
ENSG00000275776	ENSG00000275776.1	RN7SL185P	32394365	15
ENSG00000208308	ENSG00000208308.1	SNORA40B	135136628	2
ENSG00000239039	ENSG00000239039.1	SNORD13	33513475	8
ENSG00000199285	ENSG00000199285.1	RF00019	38987281	14
ENSG00000275823	ENSG00000275823.1	RF02107	63549294	1
ENSG00000212454	ENSG00000212454.1	RNA5SP286	73750972	9
ENSG00000200917	ENSG00000200917.1	RNU6-553P	105406997	4
ENSG00000253015	ENSG00000253015.1	RN7SKP64	139333038	5
ENSG00000212542	ENSG00000212542.1	RNA5SP496	31305404	22
ENSG00000274467	ENSG00000274467.1	RNA5SP257	20290174	8
ENSG00000277995	ENSG00000277995.1	RF00425	29079384	CHR_HSCHR5_2_CTG1
ENSG00000275780	ENSG00000275780.1	AC003070.3	45327366	CHR_HSCHR17_2_CTG5
ENSG00000201157	ENSG00000201157.1	RF00091	18979619	8
ENSG00000244236	ENSG00000244236.3	RN7SL604P	69516751	2
ENSG00000276685	ENSG00000276685.1	RF01518	46028804	8
ENSG00000212526	ENSG00000212526.1	RNU6-466P	30956248	15
ENSG00000251994	ENSG00000251994.1	RNU2-27P	9518119	18
ENSG00000200418	ENSG00000200418.1	SNORA63B	186786323	3
ENSG00000252745	ENSG00000252745.1	RNA5SP143	142591677	3
ENSG00000223238	ENSG00000223238.1	RNA5SP294	111411644	9
ENSG00000251880	ENSG00000251880.1	RNU7-75P	37327135	5
ENSG00000212360	ENSG00000212360.1	RNU6-1177P	61852499	1
ENSG00000206936	ENSG00000206936.1	RNU4-52P	49082028	X
ENSG00000252794	ENSG00000252794.1	RN7SKP60	165609441	5
ENSG00000202093	ENSG00000202093.1	SNORD58C	49489245	18
ENSG00000252856	ENSG00000252856.1	RNA5SP503	48206258	X
ENSG00000252182	ENSG00000252182.1	RNA5SP413	35747032	16
ENSG00000278775	ENSG00000278775.1	RF01518	8433085	21
ENSG00000206624	ENSG00000206624.1	RNU1-39P	178884715	5
ENSG00000202523	ENSG00000202523.1	RF00019	83992932	9
ENSG00000284310	ENSG00000284310.1	MIR939	144394149	8
ENSG00000243005	ENSG00000243005.3	RN7SL16P	24563193	4
ENSG00000277635	ENSG00000277635.1	RF00017	109295239	3
ENSG00000201282	ENSG00000201282.1	RF00019	73011144	7
ENSG00000286768	ENSG00000286768.1	AC097369.2	72739267	CHR_HG126_PATCH
ENSG00000252258	ENSG00000252258.1	RF00156	3025434	18
ENSG00000200840	ENSG00000200840.1	RNU6-82P	28232501	13
ENSG00000252980	ENSG00000252980.1	RNU6-367P	44071087	3
ENSG00000241172	ENSG00000241172.3	RN7SL70P	18957957	19
ENSG00000277818	ENSG00000277818.1	RF00019	79562745	5
ENSG00000215966	ENSG00000215966.1	MIR876	28863626	9
ENSG00000266381	ENSG00000266381.2	RF00017	11954709	CHR_HSCHR3_1_CTG1
ENSG00000242865	ENSG00000242865.3	RN7SL244P	53090961	6
ENSG00000222355	ENSG00000222355.1	RNU2-29P	53776136	7
ENSG00000238457	ENSG00000238457.1	RNU7-169P	108668448	12
ENSG00000207101	ENSG00000207101.1	RF00019	41803349	8
ENSG00000239437	ENSG00000239437.3	RN7SL752P	129591349	3
ENSG00000252556	ENSG00000252556.1	RNU6-256P	122004355	11
ENSG00000200552	ENSG00000200552.1	RF00019	102336869	7
ENSG00000222741	ENSG00000222741.1	RNA5SP229	33177740	7
ENSG00000266017	ENSG00000266017.1	MIR4477B	63819574	9
ENSG00000273979	ENSG00000273979.1	RF00017	40917111	22
ENSG00000278374	ENSG00000278374.1	RF00015	123454981	8
ENSG00000244169	ENSG00000244169.3	RN7SL120P	1065580	3
ENSG00000240606	ENSG00000240606.3	RN7SL564P	122745280	6
ENSG00000201135	ENSG00000201135.1	RNU6-777P	12077881	1
ENSG00000283863	ENSG00000283863.1	MIR3960	127785833	9
ENSG00000201368	ENSG00000201368.2	RF00012	35429064	5
ENSG00000277677	ENSG00000277677.1	RF00017	51858070	15
ENSG00000242483	ENSG00000242483.3	RN7SL293P	11379395	8
ENSG00000238924	ENSG00000238924.2	RNU7-82P	163470205	3
ENSG00000201109	ENSG00000201109.1	RNA5SP245	130027277	7
ENSG00000206622	ENSG00000206622.1	SNORA69	119787353	X
ENSG00000275041	ENSG00000275041.1	RF00017	100897853	8
ENSG00000264615	ENSG00000264615.2	RN7SL592P	2228961	9
ENSG00000284317	ENSG00000284317.1	MIR7114	137450026	9
ENSG00000207154	ENSG00000207154.1	RNU1-46P	51283733	18
ENSG00000243883	ENSG00000243883.3	RN7SL419P	153381729	4
ENSG00000253056	ENSG00000253056.1	RNU7-128P	48180328	3
ENSG00000283675	ENSG00000283675.1	RF00537	19420279	17
ENSG00000252028	ENSG00000252028.1	RN7SKP52	177503303	3
ENSG00000283389	ENSG00000283389.1	RF00017	121897583	12
ENSG00000277754	ENSG00000277754.1	RF00012	101145480	14
ENSG00000275680	ENSG00000275680.1	RF00017	58951185	17
ENSG00000252183	ENSG00000252183.1	RNU6-948P	121192797	4
ENSG00000283334	ENSG00000283334.1	MIR4536-1	55451495	X
ENSG00000202269	ENSG00000202269.1	RF00096	15110786	5
ENSG00000275415	ENSG00000275415.1	RF02218	30026209	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000206774	ENSG00000206774.1	RNU6-211P	80365726	5
ENSG00000239279	ENSG00000239279.3	RN7SL184P	113419840	4
ENSG00000283775	ENSG00000283775.1	MIR4329	112780718	X
ENSG00000222206	ENSG00000222206.1	RF00019	27223319	4
ENSG00000212425	ENSG00000212425.1	RNA5SP105	137512098	2
ENSG00000252955	ENSG00000252955.1	RNU4ATAC9P	72965178	4
ENSG00000200693	ENSG00000200693.2	RF00012	63651296	14
ENSG00000199755	ENSG00000199755.1	RF00019	67340068	14
ENSG00000274408	ENSG00000274408.1	RNA5SP536	146539541	1
ENSG00000223298	ENSG00000223298.1	RNY3P8	95310830	13
ENSG00000207108	ENSG00000207108.1	RF00019	185630428	1
ENSG00000223003	ENSG00000223003.1	RNA5SP184	56146739	5
ENSG00000238410	ENSG00000238410.1	RF01233	75489576	2
ENSG00000200051	ENSG00000200051.1	RF00279	140527352	5
ENSG00000283931	ENSG00000283931.1	MIR18B	134170041	X
ENSG00000274568	ENSG00000274568.1	RN7SL545P	22429200	15
ENSG00000235284	ENSG00000235284.1	SNORD62A	131485665	9
ENSG00000243136	ENSG00000243136.3	RN7SL22P	35671776	9
ENSG00000239003	ENSG00000239003.1	RNU7-88P	59480070	13
ENSG00000200407	ENSG00000200407.1	RNU6-1169P	41448742	15
ENSG00000200468	ENSG00000200468.1	RNA5SP403	9564390	16
ENSG00000278715	ENSG00000278715.1	SNORD116-20	25087662	15
ENSG00000216060	ENSG00000216060.1	MIR934	136550878	X
ENSG00000278457	ENSG00000278457.1	RF00001	380608	KI270442.1
ENSG00000202142	ENSG00000202142.1	SNORD114-18	100975825	14
ENSG00000266420	ENSG00000266420.2	RN7SL118P	119434519	X
ENSG00000207497	ENSG00000207497.1	RF00019	185709873	4
ENSG00000265727	ENSG00000265727.2	RN7SL648P	74242608	X
ENSG00000201041	ENSG00000201041.1	RNA5SP242	128697439	7
ENSG00000207505	ENSG00000207505.1	RNU6-1105P	186771841	3
ENSG00000216098	ENSG00000216098.1	MIR892B	145997198	X
ENSG00000238669	ENSG00000238669.1	RNU6-333P	53138545	12
ENSG00000223023	ENSG00000223023.1	RF00019	23024596	18
ENSG00000251891	ENSG00000251891.1	RNU7-79P	85389823	15
ENSG00000277776	ENSG00000277776.4	NLRP7	54931214	CHR_HSCHR19LRC_LRC_S_CTG3_1
ENSG00000223335	ENSG00000223335.1	RNU6-603P	32352877	6
ENSG00000278063	ENSG00000278063.1	RF00026	54868122	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
ENSG00000239137	ENSG00000239137.1	RF01210	55167171	19
ENSG00000200534	ENSG00000200534.1	SNORA33	132817219	6
ENSG00000266191	ENSG00000266191.2	RF00017	28978391	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000201253	ENSG00000201253.1	RNU4-10P	73191528	13
ENSG00000201807	ENSG00000201807.1	RF00443	136855698	6
ENSG00000207386	ENSG00000207386.1	RF00019	206025593	2
ENSG00000206903	ENSG00000206903.1	SNORA24B	65285461	15
ENSG00000212242	ENSG00000212242.1	RNA5SP219	136630243	6
ENSG00000222389	ENSG00000222389.1	RNU2-28P	81509476	3
ENSG00000280505	ENSG00000280505.1	AC097369.1	72583719	CHR_HG126_PATCH
ENSG00000200361	ENSG00000200361.1	RF00019	106688678	3
ENSG00000240863	ENSG00000240863.3	RN7SL645P	58199568	16
ENSG00000206638	ENSG00000206638.1	RNU6-672P	72869544	11
ENSG00000252475	ENSG00000252475.1	RNU6-1332P	44962830	15
ENSG00000221245	ENSG00000221245.1	RF00614	119569699	4
ENSG00000283509	ENSG00000283509.1	RF00026	129819777	3
ENSG00000222205	ENSG00000222205.1	RNA5SP266	57126655	8
ENSG00000206647	ENSG00000206647.1	RF00410	10155072	2
ENSG00000202428	ENSG00000202428.1	RNU6-108P	57536252	3
ENSG00000201208	ENSG00000201208.1	RF00019	113178423	12
ENSG00000238704	ENSG00000238704.1	RNU7-97P	42440198	17
ENSG00000276873	ENSG00000276873.1	RF02271	39171462	21
ENSG00000199409	ENSG00000199409.1	RF00019	150098406	5
ENSG00000201980	ENSG00000201980.1	RF00091	4756645	11
ENSG00000251975	ENSG00000251975.1	RNU6-718P	120337549	5
ENSG00000202459	ENSG00000202459.1	RF00019	102695388	14
ENSG00000252101	ENSG00000252101.2	RNU6-758P	75286712	16
ENSG00000278066	ENSG00000278066.1	AC023491.1	26533	KI270731.1
ENSG00000240964	ENSG00000240964.3	RN7SL751P	78938009	3
ENSG00000243103	ENSG00000243103.3	RN7SL452P	50637691	14
ENSG00000199936	ENSG00000199936.1	RF00019	85460144	2
ENSG00000207460	ENSG00000207460.1	SNORD116-19	25086527	15
ENSG00000251720	ENSG00000251720.1	RNU7-123P	63536711	1
ENSG00000265325	ENSG00000265325.1	SNORD84	31580561	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000252621	ENSG00000252621.1	RF00019	37303000	10
ENSG00000199240	ENSG00000199240.1	RNA5SP46	43196417	1
ENSG00000271852	ENSG00000271852.1	SNORD11B	202291332	2
ENSG00000277592	ENSG00000277592.1	RF00017	59584169	3
ENSG00000208892	ENSG00000208892.1	SNORA49	132031224	12
ENSG00000238950	ENSG00000238950.1	RNU7-173P	47826969	20
ENSG00000264293	ENSG00000264293.2	RN7SL657P	1405460	1
ENSG00000251947	ENSG00000251947.1	RN7SKP164	76595413	2
ENSG00000276383	ENSG00000276383.1	RF02220	30051467	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000252282	ENSG00000252282.1	RNU6-1089P	245023015	1
ENSG00000266210	ENSG00000266210.2	RN7SL371P	30918469	1
ENSG00000265052	ENSG00000265052.2	RN7SL622P	67977698	17
ENSG00000265606	ENSG00000265606.1	MIR4695	18883202	1
ENSG00000207306	ENSG00000207306.1	RNU6-1152P	48196680	17
ENSG00000206587	ENSG00000206587.1	RNU6-46P	67895631	11
ENSG00000201618	ENSG00000201618.1	RNA5SP505	53909054	X
ENSG00000207511	ENSG00000207511.1	RNU6-771P	13279125	1
ENSG00000207155	ENSG00000207155.1	RNY1P14	140700835	4
ENSG00000252640	ENSG00000252640.1	RF01233	68630851	16
ENSG00000222842	ENSG00000222842.1	RN7SKP168	17122841	2
ENSG00000276263	ENSG00000276263.1	TFPT	54107066	CHR_HSCHR19LRC_LRC_I_CTG3_1
ENSG00000221031	ENSG00000221031.1	RF00621	5224448	11
ENSG00000202225	ENSG00000202225.1	RNA5SP240	120981426	7
ENSG00000206659	ENSG00000206659.1	RF00019	175022479	1
ENSG00000284443	ENSG00000284443.1	MIR197	109598893	1
ENSG00000266689	ENSG00000266689.1	RF00003	32510948	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000206918	ENSG00000206918.1	RNU6-1181P	57512450	3
ENSG00000275996	ENSG00000275996.1	SNORD27	62855012	11
ENSG00000202059	ENSG00000202059.1	RF00408	203052285	2
ENSG00000239690	ENSG00000239690.3	RN7SL668P	234904186	1
ENSG00000278237	ENSG00000278237.1	RF02155	76712763	5
ENSG00000199059	ENSG00000199059.3	MIR135B	205448302	1
ENSG00000276309	ENSG00000276309.1	RN7SKP251	68970439	5
ENSG00000206818	ENSG00000206818.1	RNU6-849P	79912104	7
ENSG00000202385	ENSG00000202385.1	RF00019	89020246	1
ENSG00000222826	ENSG00000222826.1	RN7SKP286	138863597	2
ENSG00000202414	ENSG00000202414.1	RF00019	25214698	20
ENSG00000209645	ENSG00000209645.1	SNORD105	10107651	19
ENSG00000199331	ENSG00000199331.1	RF00019	109042386	9
ENSG00000240474	ENSG00000240474.3	RN7SL116P	38872770	20
ENSG00000263744	ENSG00000263744.1	MIR3664	70872270	11
ENSG00000273709	ENSG00000273709.1	RF00004	43241180	17
ENSG00000263598	ENSG00000263598.1	RF00026	28915807	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000252923	ENSG00000252923.1	RF00424	196686148	2
ENSG00000252094	ENSG00000252094.1	RNA5SP410	35745989	16
ENSG00000222314	ENSG00000222314.1	RNU6-1118P	38423625	10
ENSG00000278454	ENSG00000278454.1	RF02213	134600257	8
ENSG00000264211	ENSG00000264211.1	MIR4492	118910708	11
ENSG00000207047	ENSG00000207047.2	SNORD51	206161878	2
ENSG00000277217	ENSG00000277217.1	RF02271	129170092	12
ENSG00000244512	ENSG00000244512.3	RN7SL28P	184278936	4
ENSG00000200831	ENSG00000200831.1	SNORD36B	133350095	9
ENSG00000222747	ENSG00000222747.1	RNA5SP25	21369790	13
ENSG00000277809	ENSG00000277809.1	RF02249	44935585	2
ENSG00000201999	ENSG00000201999.1	RNA5SP428	66301809	16
ENSG00000201314	ENSG00000201314.1	RF00019	145958128	4
ENSG00000222806	ENSG00000222806.1	RNA5SP225	153420438	6
ENSG00000280864	ENSG00000280864.1	AC255560.1	72505075	CHR_HG126_PATCH
ENSG00000221604	ENSG00000221604.1	MIR1293	50234142	12
ENSG00000262621	ENSG00000262621.5	AC025283.2	3382113	16
ENSG00000252720	ENSG00000252720.1	RNU6-1258P	93437400	14
ENSG00000277771	ENSG00000277771.1	RF00017	49846456	22
ENSG00000201966	ENSG00000201966.1	RNA5-8SP4	24004358	19
ENSG00000252919	ENSG00000252919.1	RF00019	49592236	14
ENSG00000277524	ENSG00000277524.1	RF02175	136133912	5
ENSG00000221216	ENSG00000221216.1	RNU6ATAC27P	28481362	1
ENSG00000283487	ENSG00000283487.1	MIR4501	96427229	13
ENSG00000223046	ENSG00000223046.1	RNA5SP369	101836820	12
ENSG00000207090	ENSG00000207090.1	RNU6-517P	121194948	7
ENSG00000277567	ENSG00000277567.1	RF00026	54868910	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
ENSG00000199327	ENSG00000199327.1	RNU6-230P	125119097	3
ENSG00000199306	ENSG00000199306.1	RNU6-858P	197894507	3
ENSG00000201221	ENSG00000201221.1	RNU4-40P	35887659	20
ENSG00000263629	ENSG00000263629.1	MIR5586	59646962	14
ENSG00000202041	ENSG00000202041.1	RF00019	240154651	1
ENSG00000277542	ENSG00000277542.1	RF02133	48723692	17
ENSG00000252411	ENSG00000252411.1	RNU6-1087P	35594173	X
ENSG00000206960	ENSG00000206960.1	RNU6-793P	14646535	6
ENSG00000221125	ENSG00000221125.2	RF00012	49949316	19
ENSG00000280904	ENSG00000280904.1	RF01183	52688882	3
ENSG00000199753	ENSG00000199753.1	SNORD104	64146083	17
ENSG00000222881	ENSG00000222881.1	RF00019	40391232	17
ENSG00000242348	ENSG00000242348.3	RN7SL561P	1666360	20
ENSG00000264210	ENSG00000264210.1	MIR4716	49169070	15
ENSG00000272075	ENSG00000272075.2	RN7SL828P	118067237	11
ENSG00000275635	ENSG00000275635.1	RF00066	23137805	22
ENSG00000243782	ENSG00000243782.3	RN7SL78P	87832818	10
ENSG00000251922	ENSG00000251922.1	RF00397	6017054	10
ENSG00000207435	ENSG00000207435.1	RNU6-114P	3572857	X
ENSG00000252627	ENSG00000252627.1	RNU6-122P	123874459	X
ENSG00000265373	ENSG00000265373.2	MIR3180-2	16309879	16
ENSG00000251802	ENSG00000251802.1	RF00322	34892417	7
ENSG00000278714	ENSG00000278714.1	AL929561.4	29063984	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000252491	ENSG00000252491.1	RNU1-142P	26790142	X
ENSG00000212558	ENSG00000212558.1	RF00568	10090205	2
ENSG00000278426	ENSG00000278426.1	LENG1	54156127	CHR_HSCHR19LRC_LRC_T_CTG3_1
ENSG00000283819	ENSG00000283819.1	MIR144	28861533	17
ENSG00000202515	ENSG00000202515.1	VTRNA1-3	140726158	5
ENSG00000201547	ENSG00000201547.1	RF00019	67408774	17
ENSG00000264530	ENSG00000264530.2	RN7SL25P	6542094	9
ENSG00000206897	ENSG00000206897.1	SNORA9B	123616708	12
ENSG00000212396	ENSG00000212396.1	RNA5SP323	93510548	10
ENSG00000276220	ENSG00000276220.1	AC012314.14	54102906	CHR_HSCHR19LRC_COX2_CTG3_1
ENSG00000284399	ENSG00000284399.1	MIR3184	30117086	17
ENSG00000275856	ENSG00000275856.1	RF02219	30058115	6
ENSG00000274574	ENSG00000274574.1	RF00003	144560668	CHR_HSCHR1_4_CTG31
ENSG00000275021	ENSG00000275021.1	RF00026	54868796	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
ENSG00000200814	ENSG00000200814.1	RNU6-595P	62334091	12
ENSG00000266308	ENSG00000266308.2	RN7SL510P	75895040	15
ENSG00000278101	ENSG00000278101.1	RF00026	57301316	CHR_HSCHR8_1_CTG6
ENSG00000199552	ENSG00000199552.1	RF00092	40654963	5
ENSG00000263602	ENSG00000263602.1	MIR3185	48724408	17
ENSG00000200024	ENSG00000200024.1	RF00019	87743952	4
ENSG00000201710	ENSG00000201710.1	RF00181	100979992	14
ENSG00000251774	ENSG00000251774.1	RNU6-377P	12514706	3
ENSG00000199872	ENSG00000199872.1	RNU6-942P	26042675	2
ENSG00000284574	ENSG00000284574.1	MIR6787	82236668	17
ENSG00000274208	ENSG00000274208.1	RF00003	189720125	CHR_HSCHR4_7_CTG12
ENSG00000238324	ENSG00000238324.1	RN7SKP198	102857450	7
ENSG00000276052	ENSG00000276052.1	RNU1-51P	189709539	CHR_HSCHR4_3_CTG12
ENSG00000223284	ENSG00000223284.1	RNU6-195P	40708055	19
ENSG00000265223	ENSG00000265223.1	RNU1-79P	32441551	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000223274	ENSG00000223274.6	RNA5SP498	1300256	X
ENSG00000283928	ENSG00000283928.1	MIR637	3961414	19
ENSG00000223190	ENSG00000223190.1	RN7SKP100	43063326	20
ENSG00000199460	ENSG00000199460.2	RNU6-1216P	69182877	2
ENSG00000278118	ENSG00000278118.1	RF00017	30555912	CHR_HSCHR15_4_CTG8
ENSG00000199900	ENSG00000199900.1	RNA5SP463	7886977	19
ENSG00000274258	ENSG00000274258.1	MIR6728	8866502	1
ENSG00000242673	ENSG00000242673.3	RN7SL167P	131004128	11
ENSG00000222608	ENSG00000222608.1	RNA5SP504	52665231	X
ENSG00000277311	ENSG00000277311.1	RF02247	44934055	2
ENSG00000265137	ENSG00000265137.3	MIR3192	18470615	20
ENSG00000207194	ENSG00000207194.1	RNU6-1026P	50582404	1
ENSG00000206634	ENSG00000206634.1	SNORA22	65755526	7
ENSG00000202495	ENSG00000202495.1	RF00019	50171197	X
ENSG00000276835	ENSG00000276835.2	MIR6127	22633258	1
ENSG00000252355	ENSG00000252355.1	RN7SKP287	43435132	11
ENSG00000264610	ENSG00000264610.1	MIR4685	98431292	10
ENSG00000223258	ENSG00000223258.1	RNU6-575P	43207762	7
ENSG00000221091	ENSG00000221091.1	MIR1302-5	50614636	20
ENSG00000238653	ENSG00000238653.1	RNU7-62P	64384398	1
ENSG00000252377	ENSG00000252377.1	RNU6-504P	51870706	X
ENSG00000284265	ENSG00000284265.1	MIR4683	35641172	10
ENSG00000221468	ENSG00000221468.1	RNU6ATAC11P	43341786	10
ENSG00000265411	ENSG00000265411.1	RN7SL656P	46319679	17
ENSG00000241587	ENSG00000241587.3	RN7SL482P	66323855	3
ENSG00000276639	ENSG00000276639.1	MIR7154	45691704	11
ENSG00000265326	ENSG00000265326.2	RF00017	28977442	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000266463	ENSG00000266463.1	MIR3196	63238779	20
ENSG00000252764	ENSG00000252764.1	RNU6-1092P	100683488	8
ENSG00000252889	ENSG00000252889.1	RNU6-1236P	109225129	3
ENSG00000283704	ENSG00000283704.1	AP003392.13	119018944	11
ENSG00000200222	ENSG00000200222.2	RF00012	64071807	3
ENSG00000252661	ENSG00000252661.1	RNU6-782P	15145215	19
ENSG00000266884	ENSG00000266884.1	RF00003	32447192	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000238456	ENSG00000238456.1	RNU6-1014P	46660658	15
ENSG00000277892	ENSG00000277892.1	MIR6746	61878216	11
ENSG00000242560	ENSG00000242560.3	RN7SL797P	96282567	6
ENSG00000266299	ENSG00000266299.1	MIR3118-1	13644775	21
ENSG00000276760	ENSG00000276760.4	AC136352.2	136160	KI270727.1
ENSG00000283429	ENSG00000283429.1	MIR1244-3	9239467	12
ENSG00000243847	ENSG00000243847.3	RN7SL610P	23996795	2
ENSG00000252713	ENSG00000252713.1	RNU6-1198P	73507208	7
ENSG00000275633	ENSG00000275633.4	GP6	54684540	CHR_HSCHR19LRC_COX2_CTG3_1
ENSG00000201415	ENSG00000201415.1	RNA5SP204	17721786	6
ENSG00000263838	ENSG00000263838.1	MIR4698	47187812	12
ENSG00000238785	ENSG00000238785.1	RNU7-92P	47904348	20
ENSG00000252423	ENSG00000252423.1	RNU6-229P	69401202	7
ENSG00000265859	ENSG00000265859.1	MIR5704	131985855	3
ENSG00000208006	ENSG00000208006.1	MIR16-1	50048973	13
ENSG00000239023	ENSG00000239023.1	RNU1-98P	16718998	21
ENSG00000222652	ENSG00000222652.1	RNU6-248P	76092834	6
ENSG00000278670	ENSG00000278670.4	GP6	55019324	CHR_HSCHR19LRC_LRC_I_CTG3_1
